IBR-Agüimes;;;;;;;;;;;
FECHA;HORA;SO2;NO;NO2;PM10;;;;;;
22/03/2008;21;8;5;5;22;;;;;;
22/03/2008;22;8;5;4;17;;;;;;
22/03/2008;23;7;5;5;10;;;;;;
22/03/2008;24;7;5;6;11;;;;;;
23/03/2008;1;7;5;5;11;;;;;;
23/03/2008;2;8;5;8;10;;;;;;
23/03/2008;3;9;7;5;9;;;;;;
23/03/2008;4;8;6;4;7;;;;;;
23/03/2008;5;8;7;4;10;;;;;;
23/03/2008;6;8;9;4;7;;;;;;
23/03/2008;7;9;8;22;13;;;;;;
23/03/2008;8;9;9;18;14;;;;;;
23/03/2008;9;10;9;9;15;;;;;;
23/03/2008;10;13;8;10;22;;;;;;
23/03/2008;11;11;7;5;16;;;;;;
23/03/2008;12;9;6;5;16;;;;;;
23/03/2008;13;9;8;4;14;;;;;;
23/03/2008;14;9;5;4;17;;;;;;
23/03/2008;15;9;6;8;17;;;;;;
23/03/2008;16;8;7;10;15;;;;;;
23/03/2008;17;8;5;10;10;;;;;;
23/03/2008;18;7;6;11;10;;;;;;
23/03/2008;19;9;6;7;7;;;;;;
23/03/2008;20;9;8;21;15;;;;;;
23/03/2008;21;10;7;13;15;;;;;;
23/03/2008;22;9;7;9;13;;;;;;
23/03/2008;23;8;8;8;13;;;;;;
23/03/2008;24;7;7;8;9;;;;;;
24/03/2008;1;8;7;7;10;;;;;;
24/03/2008;2;8;8;5;9;;;;;;
24/03/2008;3;8;7;7;10;;;;;;
24/03/2008;4;8;7;8;8;;;;;;
24/03/2008;5;8;8;5;8;;;;;;
24/03/2008;6;8;8;6;8;;;;;;
24/03/2008;7;9;8;9;10;;;;;;
24/03/2008;8;9;8;10;8;;;;;;
24/03/2008;9;9;8;15;19;;;;;;
24/03/2008;10;9;7;7;18;;;;;;
24/03/2008;11;9;6;4;11;;;;;;
24/03/2008;12;9;7;5;10;;;;;;
24/03/2008;13;10;7;5;11;;;;;;
24/03/2008;14;8;7;7;12;;;;;;
24/03/2008;15;8;8;8;6;;;;;;
24/03/2008;16;9;8;11;9;;;;;;
24/03/2008;17;9;9;9;14;;;;;;
24/03/2008;18;8;9;14;19;;;;;;
24/03/2008;19;9;11;16;12;;;;;;
24/03/2008;20;10;10;6;15;;;;;;
24/03/2008;21;10;10;11;18;;;;;;
24/03/2008;22;9;11;8;15;;;;;;
24/03/2008;23;8;9;7;15;;;;;;
24/03/2008;24;8;9;8;10;;;;;;
25/03/2008;1;8;9;7;8;;;;;;
25/03/2008;2;9;10;5;10;;;;;;
25/03/2008;3;9;10;5;11;;;;;;
25/03/2008;4;9;11;4;9;;;;;;
25/03/2008;5;9;11;3;10;;;;;;
25/03/2008;6;11;12;4;18;;;;;;
25/03/2008;7;9;10;11;17;;;;;;
25/03/2008;8;10;11;9;12;;;;;;
25/03/2008;9;10;11;7;20;;;;;;
25/03/2008;10;11;11;4;18;;;;;;
25/03/2008;11;12;11;6;9;;;;;;
25/03/2008;12;14;13;9;15;;;;;;
25/03/2008;13;17;14;10;10;;;;;;
25/03/2008;14;19;14;13;14;;;;;;
25/03/2008;15;17;12;9;13;;;;;;
25/03/2008;16;14;12;9;10;;;;;;
25/03/2008;17;13;13;11;24;;;;;;
25/03/2008;18;10;9;6;13;;;;;;
25/03/2008;19;10;8;11;154;;;;;;
25/03/2008;20;10;8;10;100;;;;;;
25/03/2008;21;10;7;7;8;;;;;;
25/03/2008;22;8;7;5;9;;;;;;
25/03/2008;23;8;8;2;11;;;;;;
25/03/2008;24;9;8;8;7;;;;;;
26/03/2008;1;10;9;6;7;;;;;;
26/03/2008;2;9;9;5;7;;;;;;
26/03/2008;3;9;8;6;9;;;;;;
26/03/2008;4;9;8;6;10;;;;;;
26/03/2008;5;8;7;4;12;;;;;;
26/03/2008;6;9;6;6;7;;;;;;
26/03/2008;7;10;8;5;7;;;;;;
26/03/2008;8;10;8;8;12;;;;;;
26/03/2008;9;8;8;9;11;;;;;;
26/03/2008;10;11;7;8;9;;;;;;
26/03/2008;11;12;7;6;20;;;;;;
26/03/2008;12;12;10;3;6;;;;;;
26/03/2008;13;12;10;6;13;;;;;;
26/03/2008;14;12;9;9;16;;;;;;
26/03/2008;15;12;10;8;11;;;;;;
26/03/2008;16;11;9;9;19;;;;;;
26/03/2008;17;9;7;7;23;;;;;;
26/03/2008;18;9;7;6;7;;;;;;
26/03/2008;19;9;8;5;14;;;;;;
26/03/2008;20;11;8;5;11;;;;;;
26/03/2008;21;9;8;5;20;;;;;;
26/03/2008;22;9;6;11;18;;;;;;
26/03/2008;23;8;7;6;12;;;;;;
26/03/2008;24;8;7;5;17;;;;;;
27/03/2008;1;8;8;6;18;;;;;;
27/03/2008;2;10;7;9;17;;;;;;
27/03/2008;3;10;7;6;14;;;;;;
27/03/2008;4;10;7;5;18;;;;;;
27/03/2008;5;9;7;5;15;;;;;;
27/03/2008;6;10;8;5;19;;;;;;
27/03/2008;7;10;6;13;20;;;;;;
27/03/2008;8;8;6;13;18;;;;;;
27/03/2008;9;10;7;10;19;;;;;;
27/03/2008;10;13;8;9;23;;;;;;
27/03/2008;11;16;7;11;25;;;;;;
27/03/2008;12;18;9;6;26;;;;;;
27/03/2008;13;15;8;5;24;;;;;;
27/03/2008;14;12;8;5;22;;;;;;
27/03/2008;15;11;9;5;22;;;;;;
27/03/2008;16;10;7;5;24;;;;;;
27/03/2008;17;10;7;6;24;;;;;;
27/03/2008;18;9;7;5;27;;;;;;
27/03/2008;19;10;7;5;24;;;;;;
27/03/2008;20;11;7;6;25;;;;;;
27/03/2008;21;10;7;5;22;;;;;;
27/03/2008;22;9;7;5;26;;;;;;
27/03/2008;23;9;7;6;27;;;;;;
27/03/2008;24;9;6;7;18;;;;;;
28/03/2008;1;9;6;6;23;;;;;;
28/03/2008;2;9;7;3;23;;;;;;
28/03/2008;3;9;6;4;19;;;;;;
28/03/2008;4;9;8;3;12;;;;;;
28/03/2008;5;9;10;4;14;;;;;;
28/03/2008;6;9;9;3;33;;;;;;
28/03/2008;7;10;8;5;24;;;;;;
28/03/2008;8;10;8;5;27;;;;;;
28/03/2008;9;9;7;11;35;;;;;;
28/03/2008;10;10;5;8;31;;;;;;
28/03/2008;11;11;4;6;30;;;;;;
28/03/2008;12;11;5;5;27;;;;;;
28/03/2008;13;10;4;5;26;;;;;;
28/03/2008;14;8;5;4;30;;;;;;
28/03/2008;15;9;5;7;27;;;;;;
28/03/2008;16;11;8;12;27;;;;;;
28/03/2008;17;9;7;10;30;;;;;;
28/03/2008;18;7;6;13;27;;;;;;
28/03/2008;19;7;5;7;19;;;;;;
28/03/2008;20;9;5;6;17;;;;;;
28/03/2008;21;8;6;4;17;;;;;;
28/03/2008;22;7;6;4;19;;;;;;
28/03/2008;23;7;6;4;19;;;;;;
28/03/2008;24;7;6;4;18;;;;;;
29/03/2008;1;7;6;5;17;;;;;;
29/03/2008;2;7;6;4;18;;;;;;
29/03/2008;3;7;6;4;16;;;;;;
29/03/2008;4;6;7;3;15;;;;;;
29/03/2008;5;6;7;3;11;;;;;;
29/03/2008;6;7;9;2;11;;;;;;
29/03/2008;7;7;7;4;15;;;;;;
29/03/2008;8;7;7;4;19;;;;;;
29/03/2008;9;7;8;3;13;;;;;;
29/03/2008;10;8;8;5;15;;;;;;
29/03/2008;11;8;8;6;17;;;;;;
29/03/2008;12;7;9;6;29;;;;;;
29/03/2008;13;8;9;4;18;;;;;;
29/03/2008;14;7;10;3;16;;;;;;
29/03/2008;15;6;10;3;14;;;;;;
29/03/2008;16;6;8;4;31;;;;;;
29/03/2008;17;7;8;4;12;;;;;;
29/03/2008;18;7;9;4;16;;;;;;
29/03/2008;19;7;10;3;12;;;;;;
29/03/2008;20;8;10;4;18;;;;;;
29/03/2008;21;8;10;4;16;;;;;;
29/03/2008;22;8;9;4;11;;;;;;
29/03/2008;23;6;10;3;13;;;;;;
29/03/2008;24;8;9;3;14;;;;;;
30/03/2008;1;9;9;6;12;;;;;;
30/03/2008;2;7;9;3;12;;;;;;
30/03/2008;3;6;9;4;15;;;;;;
30/03/2008;4;6;8;4;10;;;;;;
30/03/2008;5;6;9;3;13;;;;;;
30/03/2008;6;6;8;3;21;;;;;;
30/03/2008;7;7;7;6;11;;;;;;
30/03/2008;8;7;8;4;11;;;;;;
30/03/2008;9;7;8;4;15;;;;;;
30/03/2008;10;6;8;4;20;;;;;;
30/03/2008;11;7;7;5;11;;;;;;
30/03/2008;12;7;9;3;19;;;;;;
30/03/2008;13;8;9;4;15;;;;;;
30/03/2008;14;6;8;5;16;;;;;;
30/03/2008;15;7;9;4;12;;;;;;
30/03/2008;16;6;9;4;14;;;;;;
30/03/2008;17;6;8;5;20;;;;;;
30/03/2008;18;6;7;5;13;;;;;;
30/03/2008;19;6;8;5;16;;;;;;
30/03/2008;20;7;8;4;12;;;;;;
30/03/2008;21;8;8;4;13;;;;;;
30/03/2008;22;7;9;4;16;;;;;;
30/03/2008;23;7;9;3;11;;;;;;
30/03/2008;24;7;9;4;13;;;;;;
31/03/2008;1;7;9;3;13;;;;;;
31/03/2008;2;7;10;5;12;;;;;;
31/03/2008;3;7;10;4;11;;;;;;
31/03/2008;4;7;12;3;8;;;;;;
31/03/2008;5;7;12;3;19;;;;;;
31/03/2008;6;7;10;5;21;;;;;;
31/03/2008;7;8;10;4;19;;;;;;
31/03/2008;8;7;11;5;17;;;;;;
31/03/2008;9;9;9;6;31;;;;;;
31/03/2008;10;9;10;6;12;;;;;;
31/03/2008;11;9;10;5;27;;;;;;
31/03/2008;12;10;12;4;13;;;;;;
31/03/2008;13;9;13;6;15;;;;;;
31/03/2008;14;8;12;5;19;;;;;;
31/03/2008;15;8;12;6;15;;;;;;
31/03/2008;16;8;13;3;18;;;;;;
31/03/2008;17;8;11;6;24;;;;;;
31/03/2008;18;8;12;4;11;;;;;;
31/03/2008;19;9;13;5;11;;;;;;
31/03/2008;20;10;15;4;17;;;;;;
31/03/2008;21;9;14;4;19;;;;;;
31/03/2008;22;7;12;3;16;;;;;;
31/03/2008;23;7;12;2;17;;;;;;
31/03/2008;24;7;11;3;13;;;;;;
01/04/2008;1;7;11;3;13;;;;;;
01/04/2008;2;7;10;4;12;;;;;;
01/04/2008;3;6;8;5;18;;;;;;
01/04/2008;4;6;9;3;20;;;;;;
01/04/2008;5;7;9;4;11;;;;;;
01/04/2008;6;7;10;3;18;;;;;;
01/04/2008;7;9;9;5;20;;;;;;
01/04/2008;8;8;9;5;18;;;;;;
01/04/2008;9;9;10;5;9;;;;;;
01/04/2008;10;10;11;4;31;;;;;;
01/04/2008;11;8;9;5;32;;;;;;
01/04/2008;12;8;8;4;37;;;;;;
01/04/2008;13;8;7;5;33;;;;;;
01/04/2008;14;8;7;9;35;;;;;;
01/04/2008;15;8;7;7;34;;;;;;
01/04/2008;16;8;6;6;34;;;;;;
01/04/2008;17;8;6;7;33;;;;;;
01/04/2008;18;8;7;4;32;;;;;;
01/04/2008;19;7;6;5;32;;;;;;
01/04/2008;20;9;6;3;28;;;;;;
01/04/2008;21;8;6;3;26;;;;;;
01/04/2008;22;7;7;5;25;;;;;;
01/04/2008;23;7;7;3;38;;;;;;
01/04/2008;24;6;6;3;29;;;;;;
02/04/2008;1;6;7;3;18;;;;;;
02/04/2008;2;7;8;2;27;;;;;;
02/04/2008;3;7;9;3;16;;;;;;
02/04/2008;4;10;12;5;47;;;;;;
02/04/2008;5;9;9;3;34;;;;;;
02/04/2008;6;9;14;8;37;;;;;;
02/04/2008;7;8;8;8;60;;;;;;
02/04/2008;8;9;8;9;27;;;;;;
02/04/2008;9;10;9;11;28;;;;;;
02/04/2008;10;7;10;7;23;;;;;;
02/04/2008;11;10;11;12;36;;;;;;
02/04/2008;12;6;13;10;55;;;;;;
02/04/2008;13;7;15;11;63;;;;;;
02/04/2008;14;8;18;14;89;;;;;;
02/04/2008;15;6;21;10;292;;;;;;
02/04/2008;16;6;22;14;178;;;;;;
02/04/2008;17;6;20;15;116;;;;;;
02/04/2008;18;6;15;11;93;;;;;;
02/04/2008;19;6;11;13;83;;;;;;
02/04/2008;20;7;9;17;81;;;;;;
02/04/2008;21;9;11;18;74;;;;;;
02/04/2008;22;18;15;53;76;;;;;;
02/04/2008;23;38;20;59;80;;;;;;
02/04/2008;24;38;15;46;81;;;;;;
03/04/2008;1;17;11;19;91;;;;;;
03/04/2008;2;11;12;15;109;;;;;;
03/04/2008;3;11;14;9;182;;;;;;
03/04/2008;4;10;14;8;170;;;;;;
03/04/2008;5;9;15;11;214;;;;;;
03/04/2008;6;8;21;18;177;;;;;;
03/04/2008;7;8;36;38;148;;;;;;
03/04/2008;8;11;71;48;168;;;;;;
03/04/2008;9;11;30;33;103;;;;;;
03/04/2008;10;9;25;23;93;;;;;;
03/04/2008;11;19;22;32;121;;;;;;
03/04/2008;12;12;10;17;120;;;;;;
03/04/2008;13;10;7;8;95;;;;;;
03/04/2008;14;9;6;9;90;;;;;;
03/04/2008;15;11;8;17;52;;;;;;
03/04/2008;16;10;9;13;41;;;;;;
03/04/2008;17;8;13;14;87;;;;;;
03/04/2008;18;7;22;20;200;;;;;;
03/04/2008;19;7;24;10;292;;;;;;
03/04/2008;20;7;27;15;375;;;;;;
03/04/2008;21;7;24;22;330;;;;;;
03/04/2008;22;7;22;24;278;;;;;;
03/04/2008;23;6;22;18;314;;;;;;
03/04/2008;24;6;15;11;263;;;;;;
04/04/2008;1;6;14;12;189;;;;;;
04/04/2008;2;8;17;6;213;;;;;;
04/04/2008;3;7;17;6;220;;;;;;
04/04/2008;4;6;16;5;202;;;;;;
04/04/2008;5;5;15;10;200;;;;;;
04/04/2008;6;8;18;13;176;;;;;;
04/04/2008;7;9;26;33;179;;;;;;
04/04/2008;8;9;34;39;176;;;;;;
04/04/2008;9;9;20;24;155;;;;;;
04/04/2008;10;10;20;24;148;;;;;;
04/04/2008;11;10;18;17;84;;;;;;
04/04/2008;12;10;20;13;68;;;;;;
04/04/2008;13;8;21;16;71;;;;;;
04/04/2008;14;9;22;16;66;;;;;;
04/04/2008;15;8;18;12;98;;;;;;
04/04/2008;16;7;10;14;90;;;;;;
04/04/2008;17;7;9;11;113;;;;;;
04/04/2008;18;6;6;13;114;;;;;;
04/04/2008;19;6;7;20;48;;;;;;
04/04/2008;20;8;8;28;56;;;;;;
04/04/2008;21;7;15;38;55;;;;;;
04/04/2008;22;7;12;29;40;;;;;;
04/04/2008;23;5;7;15;43;;;;;;
04/04/2008;24;7;6;19;42;;;;;;
05/04/2008;1;6;6;12;32;;;;;;
05/04/2008;2;6;6;13;30;;;;;;
05/04/2008;3;5;6;12;36;;;;;;
05/04/2008;4;6;5;7;30;;;;;;
05/04/2008;5;7;5;10;22;;;;;;
05/04/2008;6;6;7;17;22;;;;;;
05/04/2008;7;7;10;20;27;;;;;;
05/04/2008;8;7;8;17;32;;;;;;
05/04/2008;9;11;6;7;18;;;;;;
05/04/2008;10;9;7;9;24;;;;;;
05/04/2008;11;9;7;8;13;;;;;;
05/04/2008;12;9;7;7;16;;;;;;
05/04/2008;13;8;6;6;15;;;;;;
05/04/2008;14;7;6;3;16;;;;;;
05/04/2008;15;7;6;5;13;;;;;;
05/04/2008;16;7;7;5;11;;;;;;
05/04/2008;17;7;7;7;14;;;;;;
05/04/2008;18;7;7;6;13;;;;;;
05/04/2008;19;7;7;6;21;;;;;;
05/04/2008;20;8;6;6;20;;;;;;
05/04/2008;21;8;6;16;19;;;;;;
05/04/2008;22;7;9;35;18;;;;;;
05/04/2008;23;7;9;20;19;;;;;;
05/04/2008;24;7;6;18;19;;;;;;
06/04/2008;1;6;6;18;16;;;;;;
06/04/2008;2;7;6;11;17;;;;;;
06/04/2008;3;6;5;9;14;;;;;;
06/04/2008;4;6;6;9;13;;;;;;
06/04/2008;5;6;7;7;18;;;;;;
06/04/2008;6;7;8;14;13;;;;;;
06/04/2008;7;6;7;12;15;;;;;;
06/04/2008;8;7;8;13;15;;;;;;
06/04/2008;9;9;8;8;10;;;;;;
06/04/2008;10;7;10;9;18;;;;;;
06/04/2008;11;7;10;6;16;;;;;;
06/04/2008;12;7;8;7;17;;;;;;
06/04/2008;13;8;8;9;14;;;;;;
06/04/2008;14;8;8;5;16;;;;;;
06/04/2008;15;7;9;7;8;;;;;;
06/04/2008;16;7;10;5;9;;;;;;
06/04/2008;17;7;11;5;10;;;;;;
06/04/2008;18;7;9;6;17;;;;;;
06/04/2008;19;8;10;5;6;;;;;;
06/04/2008;20;8;9;7;9;;;;;;
06/04/2008;21;8;10;5;11;;;;;;
06/04/2008;22;8;7;4;16;;;;;;
06/04/2008;23;6;6;5;12;;;;;;
06/04/2008;24;7;6;4;5;;;;;;
07/04/2008;1;7;7;3;5;;;;;;
07/04/2008;2;7;9;3;5;;;;;;
07/04/2008;3;7;9;4;5;;;;;;
07/04/2008;4;7;9;5;8;;;;;;
07/04/2008;5;7;9;4;6;;;;;;
07/04/2008;6;8;10;4;12;;;;;;
07/04/2008;7;8;14;13;11;;;;;;
07/04/2008;8;8;15;16;9;;;;;;
07/04/2008;9;8;14;11;10;;;;;;
07/04/2008;10;8;15;7;12;;;;;;
07/04/2008;11;8;15;7;11;;;;;;
07/04/2008;12;9;15;8;12;;;;;;
07/04/2008;13;7;15;11;8;;;;;;
07/04/2008;14;8;16;8;13;;;;;;
07/04/2008;15;7;15;7;16;;;;;;
07/04/2008;16;6;13;7;19;;;;;;
07/04/2008;17;7;13;11;19;;;;;;
07/04/2008;18;7;12;10;26;;;;;;
07/04/2008;19;7;10;8;33;;;;;;
07/04/2008;20;8;9;9;24;;;;;;
07/04/2008;21;8;8;7;13;;;;;;
07/04/2008;22;7;6;8;14;;;;;;
07/04/2008;23;8;7;4;12;;;;;;
07/04/2008;24;8;6;5;13;;;;;;
08/04/2008;1;8;7;2;8;;;;;;
08/04/2008;2;7;6;4;9;;;;;;
08/04/2008;3;7;7;3;9;;;;;;
08/04/2008;4;8;6;3;12;;;;;;
08/04/2008;5;8;7;5;8;;;;;;
08/04/2008;6;8;10;9;11;;;;;;
08/04/2008;7;7;11;13;19;;;;;;
08/04/2008;8;8;11;10;20;;;;;;
08/04/2008;9;9;11;8;26;;;;;;
08/04/2008;10;9;9;8;20;;;;;;
08/04/2008;11;9;9;6;18;;;;;;
08/04/2008;12;9;8;7;34;;;;;;
08/04/2008;13;9;9;10;28;;;;;;
08/04/2008;14;8;8;9;15;;;;;;
08/04/2008;15;8;7;8;12;;;;;;
08/04/2008;16;8;8;6;9;;;;;;
08/04/2008;17;6;9;8;10;;;;;;
08/04/2008;18;7;10;7;12;;;;;;
08/04/2008;19;7;9;5;12;;;;;;
08/04/2008;20;9;10;6;10;;;;;;
08/04/2008;21;9;9;6;8;;;;;;
08/04/2008;22;8;8;5;10;;;;;;
08/04/2008;23;7;8;4;10;;;;;;
08/04/2008;24;7;7;3;11;;;;;;
09/04/2008;1;8;7;3;12;;;;;;
09/04/2008;2;7;7;3;8;;;;;;
09/04/2008;3;7;6;3;10;;;;;;
09/04/2008;4;7;7;2;8;;;;;;
09/04/2008;5;7;7;4;14;;;;;;
09/04/2008;6;8;6;4;12;;;;;;
09/04/2008;7;8;9;8;9;;;;;;
09/04/2008;8;8;9;6;12;;;;;;
09/04/2008;9;9;9;5;14;;;;;;
09/04/2008;10;10;7;5;30;;;;;;
09/04/2008;11;9;8;5;12;;;;;;
09/04/2008;12;10;9;5;13;;;;;;
09/04/2008;13;9;11;5;118;;;;;;
09/04/2008;14;8;11;6;23;;;;;;
09/04/2008;15;9;12;4;15;;;;;;
09/04/2008;16;8;12;6;13;;;;;;
09/04/2008;17;8;14;5;18;;;;;;
09/04/2008;18;9;13;6;13;;;;;;
09/04/2008;19;9;13;6;15;;;;;;
09/04/2008;20;10;12;10;15;;;;;;
09/04/2008;21;10;10;11;14;;;;;;
09/04/2008;22;9;10;8;13;;;;;;
09/04/2008;23;8;9;5;8;;;;;;
09/04/2008;24;8;9;5;6;;;;;;
10/04/2008;1;8;11;4;6;;;;;;
10/04/2008;2;9;10;3;9;;;;;;
10/04/2008;3;8;11;4;6;;;;;;
10/04/2008;4;8;11;3;6;;;;;;
10/04/2008;5;9;10;6;17;;;;;;
10/04/2008;6;10;9;13;32;;;;;;
10/04/2008;7;9;10;16;18;;;;;;
10/04/2008;8;8;9;15;24;;;;;;
10/04/2008;9;9;8;9;17;;;;;;
10/04/2008;10;10;8;12;25;;;;;;
10/04/2008;11;9;9;7;20;;;;;;
10/04/2008;12;10;12;15;19;;;;;;
10/04/2008;13;11;10;10;20;;;;;;
10/04/2008;14;9;11;14;16;;;;;;
10/04/2008;15;8;11;7;10;;;;;;
10/04/2008;16;8;10;5;10;;;;;;
10/04/2008;17;8;11;5;8;;;;;;
10/04/2008;18;8;9;6;6;;;;;;
10/04/2008;19;8;11;4;5;;;;;;
10/04/2008;20;9;12;5;9;;;;;;
10/04/2008;21;10;12;4;9;;;;;;
10/04/2008;22;8;10;5;15;;;;;;
10/04/2008;23;8;10;5;14;;;;;;
10/04/2008;24;8;9;5;18;;;;;;
11/04/2008;1;8;8;4;13;;;;;;
11/04/2008;2;7;8;4;10;;;;;;
11/04/2008;3;7;10;4;9;;;;;;
11/04/2008;4;7;10;4;11;;;;;;
11/04/2008;5;8;10;3;12;;;;;;
11/04/2008;6;9;11;4;9;;;;;;
11/04/2008;7;9;11;8;8;;;;;;
11/04/2008;8;9;11;7;16;;;;;;
11/04/2008;9;10;12;9;19;;;;;;
11/04/2008;10;12;12;14;13;;;;;;
11/04/2008;11;14;13;10;12;;;;;;
11/04/2008;12;13;10;9;15;;;;;;
11/04/2008;13;13;12;8;14;;;;;;
11/04/2008;14;14;12;11;11;;;;;;
11/04/2008;15;14;14;9;11;;;;;;
11/04/2008;16;11;14;10;13;;;;;;
11/04/2008;17;N;N;N;N;;;;;;
11/04/2008;18;N;N;N;N;;;;;;
11/04/2008;19;N;N;N;N;;;;;;
11/04/2008;20;N;N;N;N;;;;;;
11/04/2008;21;N;N;N;N;;;;;;
11/04/2008;22;N;N;N;N;;;;;;
11/04/2008;23;N;N;N;N;;;;;;
11/04/2008;24;N;N;N;N;;;;;;
12/04/2008;1;N;N;N;N;;;;;;
12/04/2008;2;N;N;N;N;;;;;;
12/04/2008;3;N;N;N;N;;;;;;
12/04/2008;4;N;N;N;N;;;;;;
12/04/2008;5;N;N;N;N;;;;;;
12/04/2008;6;N;N;N;N;;;;;;
12/04/2008;7;N;N;N;N;;;;;;
12/04/2008;8;N;N;N;N;;;;;;
12/04/2008;9;N;N;N;N;;;;;;
12/04/2008;10;N;N;N;N;;;;;;
12/04/2008;11;N;N;N;N;;;;;;
12/04/2008;12;N;N;N;N;;;;;;
12/04/2008;13;N;N;N;N;;;;;;
12/04/2008;14;N;N;N;N;;;;;;
12/04/2008;15;N;N;N;N;;;;;;
12/04/2008;16;N;N;N;N;;;;;;
12/04/2008;17;N;N;N;N;;;;;;
12/04/2008;18;N;N;N;N;;;;;;
12/04/2008;19;N;N;N;N;;;;;;
12/04/2008;20;N;N;N;N;;;;;;
12/04/2008;21;N;N;N;N;;;;;;
12/04/2008;22;N;N;N;N;;;;;;
12/04/2008;23;N;N;N;N;;;;;;
12/04/2008;24;N;N;N;N;;;;;;
13/04/2008;1;N;N;N;N;;;;;;
13/04/2008;2;N;N;N;N;;;;;;
13/04/2008;3;N;N;N;N;;;;;;
13/04/2008;4;N;N;N;N;;;;;;
13/04/2008;5;N;N;N;N;;;;;;
13/04/2008;6;N;N;N;N;;;;;;
13/04/2008;7;N;N;N;N;;;;;;
13/04/2008;8;N;N;N;N;;;;;;
13/04/2008;9;N;N;N;N;;;;;;
13/04/2008;10;N;N;N;N;;;;;;
13/04/2008;11;N;N;N;N;;;;;;
13/04/2008;12;N;N;N;N;;;;;;
13/04/2008;13;N;N;N;N;;;;;;
13/04/2008;14;N;N;N;N;;;;;;
13/04/2008;15;N;N;N;N;;;;;;
13/04/2008;16;N;N;N;N;;;;;;
13/04/2008;17;N;N;N;N;;;;;;
13/04/2008;18;N;N;N;N;;;;;;
13/04/2008;19;N;N;N;N;;;;;;
13/04/2008;20;N;N;N;N;;;;;;
13/04/2008;21;N;N;N;N;;;;;;
13/04/2008;22;N;N;N;N;;;;;;
13/04/2008;23;N;N;N;N;;;;;;
13/04/2008;24;N;N;N;N;;;;;;
14/04/2008;1;N;N;N;N;;;;;;
14/04/2008;2;N;N;N;N;;;;;;
14/04/2008;3;N;N;N;N;;;;;;
14/04/2008;4;N;N;N;N;;;;;;
14/04/2008;5;N;N;N;N;;;;;;
14/04/2008;6;N;N;N;N;;;;;;
14/04/2008;7;N;N;N;N;;;;;;
14/04/2008;8;N;N;N;N;;;;;;
14/04/2008;9;N;N;N;N;;;;;;
14/04/2008;10;N;N;N;N;;;;;;
14/04/2008;11;N;N;N;N;;;;;;
14/04/2008;12;N;N;N;N;;;;;;
14/04/2008;13;11;9;17;N;;;;;;
14/04/2008;14;14;8;14;N;;;;;;
14/04/2008;15;N;N;N;N;;;;;;
14/04/2008;16;N;N;N;N;;;;;;
14/04/2008;17;N;N;N;N;;;;;;
14/04/2008;18;8;12;20;21;;;;;;
14/04/2008;19;8;10;22;19;;;;;;
14/04/2008;20;8;10;29;31;;;;;;
14/04/2008;21;11;9;29;42;;;;;;
14/04/2008;22;10;6;15;30;;;;;;
14/04/2008;23;10;7;5;34;;;;;;
14/04/2008;24;12;7;9;34;;;;;;
15/04/2008;1;14;5;8;34;;;;;;
15/04/2008;2;15;5;8;31;;;;;;
15/04/2008;3;14;5;6;33;;;;;;
15/04/2008;4;13;5;8;33;;;;;;
15/04/2008;5;14;5;11;36;;;;;;
15/04/2008;6;15;7;16;37;;;;;;
15/04/2008;7;15;15;26;41;;;;;;
15/04/2008;8;15;17;29;58;;;;;;
15/04/2008;9;14;9;15;49;;;;;;
15/04/2008;10;12;6;13;50;;;;;;
15/04/2008;11;11;4;20;55;;;;;;
15/04/2008;12;10;5;9;43;;;;;;
15/04/2008;13;9;7;13;49;;;;;;
15/04/2008;14;10;7;11;55;;;;;;
15/04/2008;15;8;5;12;52;;;;;;
15/04/2008;16;7;6;10;51;;;;;;
15/04/2008;17;7;5;11;47;;;;;;
15/04/2008;18;7;5;15;50;;;;;;
15/04/2008;19;7;4;15;49;;;;;;
15/04/2008;20;9;5;16;40;;;;;;
15/04/2008;21;9;5;10;30;;;;;;
15/04/2008;22;9;8;4;13;;;;;;
15/04/2008;23;8;8;3;15;;;;;;
15/04/2008;24;10;8;4;11;;;;;;
16/04/2008;1;11;8;4;10;;;;;;
16/04/2008;2;10;4;3;52;;;;;;
16/04/2008;3;10;3;4;27;;;;;;
16/04/2008;4;10;7;4;5;;;;;;
16/04/2008;5;9;9;3;5;;;;;;
16/04/2008;6;9;9;4;8;;;;;;
16/04/2008;7;8;9;10;22;;;;;;
16/04/2008;8;6;8;12;25;;;;;;
16/04/2008;9;6;6;4;20;;;;;;
16/04/2008;10;6;6;4;17;;;;;;
16/04/2008;11;5;8;4;15;;;;;;
16/04/2008;12;N;N;N;N;;;;;;
16/04/2008;13;N;N;N;N;;;;;;
16/04/2008;14;6;6;5;5;;;;;;
16/04/2008;15;4;6;4;6;;;;;;
16/04/2008;16;4;5;7;11;;;;;;
16/04/2008;17;8;7;7;12;;;;;;
16/04/2008;18;10;5;9;18;;;;;;
16/04/2008;19;10;6;7;17;;;;;;
16/04/2008;20;12;5;9;11;;;;;;
16/04/2008;21;13;4;7;10;;;;;;
16/04/2008;22;14;5;4;12;;;;;;
16/04/2008;23;12;3;4;9;;;;;;
16/04/2008;24;14;4;3;6;;;;;;
17/04/2008;1;16;4;4;5;;;;;;
17/04/2008;2;16;4;3;6;;;;;;
